Event,MainFaultTypeAFaultTypeB
Cold,GoodFault1Good
Normal,GoodFault2Good
Hot,GoodFault3Fault1
Normal,GoodGoodFault2
Hot,GoodGoodFault3
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodFault1Good
Cold,GoodFault2Good
Cold,GoodFault3Good
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodFault1Good
Normal,GoodFault2Good
Hot,GoodFault3Good
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodFault1Good
Normal,GoodFault2Good
Cold,GoodFault3Good
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodFault1
Hot,GoodGoodFault2
Cold,GoodGoodFault3
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodFault1Good
Normal,GoodFault2Good
Cold,GoodFault3Good
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodFault1Good
Cold,GoodFault2Good
Cold,GoodFault3Good
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodFault1
Normal,GoodGoodFault2
Hot,GoodGoodFault3
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
